playlist_name,playlist_owner_followers,avg_emerging_artist_follower,avg_famous_artist_follower,emerging_follower_gap,famous_follower_gap
. Music,3,1470393,44265751,-1470390,-44265748
.music.,1,2400797,38323353,-2400796,-38323352
.music. ,7,2136865,51330259,-2136858,-51330252
/\_music_/\,12,2850939,27907817,-2850927,-27907805
2022,4,1857411,8997118,-1857407,-8997114
2022,0,2320540,39926377,-2320540,-39926377
2022 -   ...,1,1794097,27657655,-1794096,-27657654
2022 Playlist,6,1662331,23074454,-1662325,-23074448
2022 VibesğŸ˜ğŸ’•âœ¨,1,1830304,50009258,-1830303,-50009257
2022 mix,0,1871368,59453986,-1871368,-59453986
2022+,3,2563805,32929307,-2563802,-32929304
2022+,0,1635671,26034563,-1635671,-26034563
2022-2,1,2331150,40301042,-2331149,-40301041
2022-2023 songsğŸ˜‹,39,2773224,34628657,-2773185,-34628618
80s HITS | TOP 100 SONGS ,777550,2726936,30583649,-1949386,-29806099
>Music,0,2172774,30210907,-2172774,-30210907
COUNTRY HITS 2025 ğŸ”¥ New Country Songs + Top Hits,831,1342326,22205478,-1341495,-22204647
Classic USA Songs,17,2726936,23205737,-2726919,-23205720
"Clean Pop Hits 2025  /  Clean Hits 2024, 2023, 2022 & 2020s /ğŸ¬",102466,1640850,51205870,-1538384,-51103404
Country Beach Party 2025 ğŸ–ï¸,299,3019505,16333335,-3019206,-16333036
Hukum Tour 2025 - Anirudh Concert,80,3140496,39465667,-3140416,-39465587
"K-LOVE  POP CHRISTIAN  WQLR 94.7 MONTRÃ‰AL,CANADA,  MALONE,NY,USA",5,1441684,12810376,-1441679,-12810371
MC MARIO HOUSE PARTY WORLD,93,1275136,20082162,-1275043,-20082069
Music :0,5,1009403,62510361,-1009398,-62510356
"New Country Hits! Hot Country Songs 2025 Top Country Music CMA, Viral, Most Popular and Newcomers",1740,1336549,14096233,-1334809,-14094493
New Music Friday USA ğŸ‡ºğŸ‡¸,572,1413543,18207581,-1412971,-18207009
Road Trip USA Classics,27,2726936,13779313,-2726909,-13779286
SUMMER HITS 2000-2022ğŸ¹,1,2812274,37557211,-2812273,-37557210
Top American Country Songs ,145,1801322,23217079,-1801177,-23216934
USA Hits 2025 ğŸ’›,74698,1644946,47107463,-1570248,-47032765
USA Rap - 2025 ğŸ”¥,158,2622494,32017046,-2622336,-32016888
We Are The World: U.S.A. For Africa (1985),2129,2726936,21411197,-2724807,-21409068
music :3ğŸŒ€,3,2361935,12257118,-2361932,-12257115
summer songs everyone knows ğŸŒŠâ˜€,434,2371772,32997260,-2371338,-32996826
| Music |,4,1897858,34166418,-1897854,-34166414
áƒ¦â™« â™ª â™« mÌ³uÌ³sÌ³iÌ³cÌ³ â™« â™ª â™«áƒ¦,2,1797639,30423838,-1797637,-30423836
âˆ†Music âˆ†,1,3191630,26214276,-3191629,-26214275
â™« Music â™«,3,2073271,30828485,-2073268,-30828482
ğŸƒğŸ€„ï¸MusicğŸ€„ï¸ğŸƒ,3,2450705,24436910,-2450702,-24436907
ğŸ˜ Music ,0,2355501,27372419,-2355501,-27372419
