playlist_name,total_tracks,avg_track_popularity,avg_artist_popularity,unique_artist_count,user_followers
Gold!ğŸ‘‘,1972,88.0,94.0,1,41
sound,1836,86.8571428571429,82.1428571428571,6,2
Best of the bestğŸ˜¶â€ğŸŒ«ï¸,1614,84.6,90.8,3,11
Best!!!!,1361,84.8461538461538,90.9230769230769,8,3
they,1327,84.5,82.0,2,13
This,1231,74.0,91.0,2,2
Punk Gym ,1219,87.25,88.5,3,0
B E S T,1197,85.5,82.5,2,4
Gold.,1171,88.4444444444444,86.8888888888889,12,1
Jazzzzzzzz,977,86.0,85.0,6,1
(-_-),918,87.4166666666667,85.4166666666667,10,38
They them energy playlist ğŸ”¥ğŸ¤™,893,78.75,93.0833333333333,4,6
>:(,857,83.5,88.0,2,2
Africa,843,88.5,88.3333333333333,5,1
Jazzyâ€™s playlist ğŸ‘€,824,83.0,87.0,3,0
///,765,86.0,77.6,3,10
The BestğŸ˜,754,86.0,84.0,1,2
ğŸ¥±:-/,752,86.6666666666667,83.6666666666667,5,5
best of the best,738,86.4444444444444,86.8888888888889,7,35
Jazzy ğŸ˜,715,88.0909090909091,84.6363636363636,8,3
Top Classic Rock Hits Of All Time,708,86.375,82.25,5,190
The BEST Punk,683,84.0,79.0,1,2497
ğŸ’–Jazzyâ€™s playlistğŸ’– ,661,86.4444444444444,85.8888888888889,8,0
best of the best ğŸš«âŒğŸ’¯ğŸ˜¹ğŸ‘â‰ï¸â—ï¸âœ…âœ…,643,84.8333333333333,83.0,4,16
Best of 70s 80s 90s Greatest Hits,637,85.5,81.0,2,120
sound,634,91.0,94.0,1,1
Best ğŸ’¯ğŸ”¥,622,89.8333333333333,87.3333333333333,5,8
This **** fire ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,621,99.0,94.0,1,4
Jazzyâ€™s playlistğŸ«,614,87.7142857142857,83.1428571428571,7,9
THEY ARE NIT LIKE USğŸ˜ğŸ˜¼,609,86.0,90.0,1,3
Asia Asia,587,89.0,91.0,3,9
â†¯â™¬*ğŸ¹jazzâœ¬ğŸà¹‘,575,84.6,82.0,5,0
///,535,88.0,89.0,3,20
Best of 70s 80s Greatest Hits,515,85.5,81.0,2,120
Classic Rock Songs 60s 70s 80s 90s,515,86.25,82.5,2,10781
clubbing like it's the 2000's,507,81.0,85.0,1,628
Top Hits of the 2010s,500,86.75,81.75,4,1456
jazzyâ€™s music,486,89.0,90.8333333333333,5,6
The Best ğŸ‘Œ,480,85.0,82.3333333333333,3,2
sound,469,86.6666666666667,84.0,1,7
Gold,463,87.0,87.5,3,8
"'they hate us, cos they anus'",462,88.2,86.2,5,1
This and that,449,82.0,77.0,1,7
Happy Music from 1980-2025's ğŸ˜ƒ Feel Good Songs ğŸŒŸ,438,89.0,87.6666666666667,4,1871
sound,436,82.1818181818182,92.1818181818182,5,1
":*&!""()""/?",431,83.6666666666667,80.6666666666667,2,2
punk onlyğŸ™,413,84.0,79.0,1,15
Punk,389,84.3333333333333,78.6666666666667,2,8
Gold!,382,88.6666666666667,87.6666666666667,3,1
Jazâ€™s playlist,359,90.0,92.0,1,0
TOP 50 PUNJABI SONGS 2025,350,77.0,76.0,1,296
Sound,336,89.0,88.0,1,2
Songs to listen to w/ Jazzzzzzy,330,86.5,80.0,2,2
Punk,328,84.0,79.0,1,0
Gold ğŸ,328,85.0,84.0,1,22
Bad Bitch Energy ğŸ’…,319,90.25,90.0,2,12874
The_best_playlistâ€¢_â€¢,318,85.5,89.0,1,6
The Best Of 70â€™s,318,88.0,84.0,1,2283
Sound,311,94.0,88.0,1,4
TIK TOK 2025 âš¡âš¡  APRIL 2025,300,89.4,89.5,7,6226
"Clean Pop Hits 2025  /  Clean Hits 2024, 2023, 2022 & 2020s /ğŸ¬",299,90.2,91.4,3,103043
The BestğŸ’¯ğŸ’¯ğŸ’¯ğŸ˜ˆğŸ˜ˆ,294,86.1666666666667,93.0,4,0
Th3y,288,90.3333333333333,88.6666666666667,6,1
sound,285,77.5,88.5,2,0
Sound,281,87.0,83.0,2,4
jaz,279,86.5,88.0,2,0
NEW PUNJABI SONGS 2025,274,74.5,76.0,1,620
Pop Hits 2000s â€“ 2025,272,91.0,90.0,4,1061
Best Best Best,264,92.0,94.0,1,32
sounds,241,88.0,82.0,1,12
!?&/â€œ.,239,38.0,41.0,1,1
All Time Rap Bangers 2010-2025,237,68.0,93.0,1,158
Punk,227,84.0,79.0,1,12
BABY BOI - Album,227,79.5714285714286,94.0,1,1074
Pop Punk Throwback Bangers - 2000s Emo Punk Rock Hits,226,84.3333333333333,78.6666666666667,2,1179
Best TikTok Viral Songs 2025 âš¡ï¸,218,90.125,90.375,6,1655
Punk Rock (90â€™s & 00â€™s),214,84.0,79.0,1,526
Hot Gym Girls Playlist ğŸ‘,213,89.6666666666667,90.1666666666667,5,3545
Best of 60s and 70s Classics,211,88.0,84.0,1,47
"Rap 2025 ğŸ”¥ New Rap & Trap Hits, Best Hip-Hop Music, Rap Hype Playlist, Aux Bangers,   ",206,76.5,93.25,2,712
ğ˜£ğ˜¦ğ˜´ğ˜µ ğ˜°ğ˜§ ğ˜µğ˜©ğ˜¦ ğ˜£ğ˜¦ğ˜´ğ˜µ,198,86.8571428571429,86.5714285714286,6,47
"Female Rap / Baddie Energy ğŸ€ğŸ’„Cunty Pretty Girl Rap, Hot Girl Vibes, Boss Bitch Playlist ",197,91.0,88.0,1,278
This,196,89.0,83.5,2,0
this.,194,90.5,88.3333333333333,5,0
HOT GIRL GYMğŸ¤¸ğŸ»â€â™€ï¸,193,88.5,92.0,3,211
Country Hits 2025,183,87.0,86.0,1,1495
WORKOUT 2025ğŸ”¥ HIGH ENERGY ğŸ”¥ EXERCISE MUSIC ğŸ”¥ CARDIO PLAYLIST  ğŸ”¥ BEST DANCE MUSIC,180,92.0,94.0,1,730
getting ready feeling hot af,169,90.0,92.0,1,139
The best songs ğŸ¤·,167,85.0,93.5,2,3
Best '90s Alternative Playlist Ever,167,85.0,78.0,1,769
BEST HITS 2025 ğŸ”¥ Popular Songs ğŸµ Top Music Hits ğŸµ ,149,91.6666666666667,92.6666666666667,2,240
2000s Pop Punk Hits,145,84.0,79.0,1,465
90s HITS | TOP 100 SONGS,145,85.0,78.0,1,788009
80s HITS | TOP 100 SONGS ,143,84.5,81.0,2,788009
BE$T,143,87.0,89.0,2,0
Hot Country 2025,138,87.0,86.0,1,1495
sad songs to cry out to ğŸ˜­,137,85.5,84.0,2,2889
70s HITS | TOP 100 SONGS,137,86.0,84.0,1,788009
Africa Padel Claremont Playlist,136,90.0,87.5,2,1
70's Rock (Top 100),134,88.0,84.0,1,316
Best ğŸ¤·â€â™‚ï¸,134,93.5,88.0,2,4
They'll my your fool,132,86.6666666666667,85.0,3,0
hot girl running era,130,87.0,92.0,1,2413
COUNTRY HITS 2025 ğŸ”¥ New Country Songs + Top Hits,125,87.0,86.0,1,757
ğŸ—£ï¸ğŸ—£ï¸ğŸ—£ï¸,124,86.0,90.0,1,2
THE BEST OF PUNK ROCK,124,84.0,79.0,1,99
Country Top 40 Hits (Updated Weekly 2025),122,87.0,86.0,1,15024
Early 2000s Punk Rock,121,84.0,79.0,1,87
RAP MUSIC 2025 ğŸ Best Rap Songs / New Hip Hop & Trap / Top Hits,119,68.0,93.0,1,622
THEY X DVN VLM2,110,90.5,91.0,2,30
2000s Throwbacks (Top 100 Hits),107,89.0,86.0,3,8059
Acoustic Covers 2025 (Top 100),107,85.0,87.0,1,8059
Give the Amish a heart attack,104,84.5,78.5,2,5
Hot Girls Workout 2025 ğŸ‘ Hot Gym Girls ğŸ‘ bad bitches bangers to workout to when hitting the gym,100,90.5,90.0,2,730
jazzys playlistğŸ™‚â€â†•ï¸ğŸ™‚â€â†•ï¸,100,88.0,89.0,2,10
Jazzyâ€™s playlist,100,85.0,79.0,2,2
Top Hits of 2024,100,89.75,91.25,3,2214
They Hate Us,99,88.0,76.5,2,7
Classic Road Trip Songs 70s 80s 90s | Best Driving Music for Your Car | Travel Music Mix | Old Hits,98,87.5,81.0,2,686
This,96,81.0,86.0,1,6
Punk,84,84.0,79.0,1,0
80s Hits - Best of the 80s,82,85.0,78.0,1,2017
*Best 2024,69,94.0,93.3333333333333,2,3
?#%â‚¬|Â¥+Ä˜Ã˜,62,86.4,82.8,5,1
Best2,60,91.0,92.0,1,0
HITS 2025 - Today's Top Songs,60,89.4,90.2,5,605422
early 2000â€™s rom com,59,84.0,84.0,1,200
Pop Hits 2025 (Top 50),52,92.0,91.6666666666667,3,323
Top 40 Songs This Week 2025,40,92.2,92.0,3,34
50 Cent Best Of,35,81.0,85.0,1,2724
Chappell Roan â€œThe Giverâ€,27,88.75,88.0,1,2465
GUTS world tour official setlist,24,84.0,89.0,1,25174
